DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/06/01 17:28:00,AQUA_M-T,Brasil,PARÁ,IGARAPÉ-MIRI,Amazônia,0,1.48,0.0,-2.35698,-49.17637,9.4
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,21,0.0,0.17,-12.21246,-54.86753,165.5
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,23,0.0,0.17,-12.20637,-54.87306,555.1
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,20,0.0,0.16,-12.20353,-54.85002,72.3
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,25,0.0,0.17,-12.1926,-54.87466,71.8
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,29,0.0,0.33,-12.13239,-54.27739,54.6
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,33,0.0,0.22,-12.04505,-57.46839,46.3
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,33,0.0,0.21,-12.04083,-57.43153,42.5
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CARMEM,Amazônia,15,0.0,0.29,-11.91229,-54.38818,45.1
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CARMEM,Amazônia,15,0.0,0.28,-11.91212,-54.40261,37.3
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CARMEM,Amazônia,15,0.0,0.29,-11.90957,-54.38149,34.6
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,IPIRANGA DO NORTE,Amazônia,14,0.0,0.54,-11.8915,-55.89101,77.2
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,IPIRANGA DO NORTE,Amazônia,15,0.0,0.91,-11.89132,-55.8981,76.9
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,33,0.0,0.44,-11.78577,-52.47069,22.0
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,33,0.0,0.44,-11.78383,-52.4557,46.1
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,UNIÃO DO SUL,Amazônia,15,0.0,0.3,-11.72076,-54.31839,27.0
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,UNIÃO DO SUL,Amazônia,15,0.0,0.31,-11.71884,-54.31169,22.7
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,30,0.0,0.63,-11.66926,-51.66248,63.9
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,30,0.0,0.37,-11.66754,-51.64944,56.9
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,33,0.0,0.33,-11.6612,-54.05225,32.0
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,33,0.0,0.33,-11.66113,-54.05922,33.7
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,33,0.0,0.41,-11.65866,-52.81306,22.6
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,33,0.0,0.33,-11.65861,-54.03959,31.5
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,33,0.0,0.43,-11.6566,-52.79718,35.3
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,34,0.0,0.37,-11.64837,-54.06099,63.2
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,33,0.0,0.4,-11.6471,-52.81457,22.2
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,33,0.0,0.33,-11.64585,-54.04119,145.2
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,18,0.0,0.41,-11.3792,-52.77172,34.1
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,19,0.0,0.42,-11.37716,-52.75604,27.8
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,34,0.0,0.42,-11.27042,-52.47049,129.3
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,34,0.0,0.66,-11.26846,-52.45578,26.8
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,34,0.0,0.43,-11.26121,-52.48686,24.4
